city,country,continent,lon,lat,koppen_geiger_class,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group,wbt_continent_wbt
Masjed Soleyman,Iran,Asia,49.5,31.96244335,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",153663,Medium (50k-500k),18.848492
Masjed Soleyman,Iran,Asia,49.5,31.96244335,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",153663,Medium (50k-500k),18.848492
Arak,Iran,Asia,49.5,34.2054185,17,Dsa,"Cold, dry summer, hot summer",503647,Large (500k-1M),11.575076
Arak,Iran,Asia,49.5,34.2054185,17,Dsa,"Cold, dry summer, hot summer",503647,Large (500k-1M),11.575076
Tolyatti,Russia,Europe,49.5,53.27065546,25,Dfa,"Cold, no dry season, hot summer",702879,Large (500k-1M),19.069263
Tolyatti,Russia,Europe,49.5,53.27065546,25,Dfa,"Cold, no dry season, hot summer",702879,Large (500k-1M),19.069263
Dimitrovgrad,Russia,Europe,49.5,54.39213516,25,Dfa,"Cold, no dry season, hot summer",132226,Medium (50k-500k),18.360416
Dimitrovgrad,Russia,Europe,49.5,54.39213516,25,Dfa,"Cold, no dry season, hot summer",132226,Medium (50k-500k),18.360416
Maroantsetra,Madagascar,Africa,49.6875,-15.42851809,1,Af,"Tropical, rainforest",38046,Small (<50k),23.867073
Eyl,Somalia,Africa,49.6875,7.948024964,4,BWh,"Arid, desert, hot",18904,Small (<50k),25.91487
Eyl,Somalia,Africa,49.6875,8.125,4,BWh,"Arid, desert, hot",18904,Small (<50k),25.91487
Al Mubarraz,Saudi Arabia,Asia,49.6875,25.625,4,BWh,"Arid, desert, hot",298562,Medium (50k-500k),23.916206
Al Mubarraz,Saudi Arabia,Asia,49.6875,25.71419264,4,BWh,"Arid, desert, hot",298562,Medium (50k-500k),23.916206
Al-Qatif,Saudi Arabia,Asia,49.6875,26.64925366,4,BWh,"Arid, desert, hot",368892,Medium (50k-500k),15.2799015
Al Jubayl,Saudi Arabia,Asia,49.6875,26.875,4,BWh,"Arid, desert, hot",237274,Medium (50k-500k),15.2799015
Masjed Soleyman,Iran,Asia,49.6875,31.875,6,BSh,"Arid, steppe, hot",153663,Medium (50k-500k),18.848492
Arak,Iran,Asia,49.6875,34.12973913,6,BSh,"Arid, steppe, hot",503647,Large (500k-1M),11.575076
Arak,Iran,Asia,49.6875,34.375,6,BSh,"Arid, steppe, hot",503647,Large (500k-1M),11.575076
Chapayevsk,Russia,Europe,49.6875,52.83091393,7,BSk,"Arid, steppe, cold",107164,Medium (50k-500k),19.069263
Chapayevsk,Russia,Europe,49.6875,53.125,7,BSk,"Arid, steppe, cold",152334,Medium (50k-500k),19.069263
Dimitrovgrad,Russia,Europe,49.6875,54.375,25,Dfa,"Cold, no dry season, hot summer",132226,Medium (50k-500k),18.360416
Maroantsetra,Madagascar,Africa,50,-15.75,1,Af,"Tropical, rainforest",38046,Small (<50k),21.993055
Maroantsetra,Madagascar,Africa,50,-15.54973822,1,Af,"Tropical, rainforest",38046,Small (<50k),21.993055
Maroantsetra,Madagascar,Africa,50,-15.211267,1,Af,"Tropical, rainforest",38046,Small (<50k),21.257086
Maroantsetra,Madagascar,Africa,50,-15.18987342,1,Af,"Tropical, rainforest",38046,Small (<50k),21.257086
Sambava,Madagascar,Africa,50,-14.60732984,1,Af,"Tropical, rainforest",43465,Small (<50k),24.300127
Sambava,Madagascar,Africa,50,-14.25,1,Af,"Tropical, rainforest",43465,Small (<50k),24.300127
Sambava,Madagascar,Africa,50,-13.943662,1,Af,"Tropical, rainforest",43465,Small (<50k),24.300127
Eyl,Somalia,Africa,50,8.25,4,BWh,"Arid, desert, hot",18904,Small (<50k),26.275944
Hofuf,Saudi Arabia,Asia,50,25.3164557,4,BWh,"Arid, desert, hot",637389,Large (500k-1M),14.570422
Hofuf,Saudi Arabia,Asia,50,25.352112,4,BWh,"Arid, desert, hot",637389,Large (500k-1M),14.570422
Az Zahran,Saudi Arabia,Asia,50,25.91623037,4,BWh,"Arid, desert, hot",97446,Medium (50k-500k),15.926223
